id;neighbourhood;room_type;price;minimum_nights;number_of_reviews;last_review;availability_365
7693504;Carretera de Cadiz;Entire home/apt;159,00 ;3;24;06/08/2025;85
15800177;Centro;Entire home/apt;197,00 ;1;21;02/01/2025;315
16060437;Carretera de Cadiz;Entire home/apt;171,00 ;1;20;08/08/2025;12
17216091;Cruz De Humilladero;Entire home/apt;180,00 ;5;20;31/08/2025;213
19024635;Teatinos-Universidad;Entire home/apt;200,00 ;4;20;19/08/2025;148
19445547;Centro;Entire home/apt;182,00 ;2;20;06/08/2025;246
20198267;Teatinos-Universidad;Entire home/apt;54,00 ;10;20;27/08/2025;91
23031883;Centro;Entire home/apt;103,00 ;2;18;22/06/2025;125
23768112;Puerto de la Torre;Entire home/apt;108,00 ;2;18;08/09/2025;103
30883396;Este;Entire home/apt;135,00 ;4;16;30/08/2025;184
34953840;Centro;Entire home/apt;208,00 ;1;9;07/09/2025;213
36193555;Centro;Entire home/apt;154,00 ;1;15;17/08/2025;350
37733937;Cruz De Humilladero;Entire home/apt;432,00 ;1;15;30/08/2025;92
39526980;Centro;Entire home/apt;69,00 ;3;14;31/08/2025;50
40109193;Centro;Entire home/apt;148,00 ;1;8;29/06/2025;289
41388058;Centro;Entire home/apt;60,00 ;1;10;22/09/2025;348
43962693;Centro;Entire home/apt;95,00 ;3;13;31/08/2025;60
46811168;Centro;Entire home/apt;144,00 ;1;10;20/07/2025;309
48084637;Churriana;Private room;79,00 ;1;6;10/09/2025;20
584539122055233000;Cruz De Humilladero;Entire home/apt;80,00 ;1;8;11/09/2025;346
644042608383156000;Churriana;Entire home/apt;95,00 ;10;7;16/08/2025;189
